row_id,coverage_area,business_question,source_evidence,direction,partner_name,partner_code,hs6,commodity_name,period_grain,year_or_month,comtrade_vn_reported_available,comtrade_vn_reported_count,comtrade_mirror_available,comtrade_mirror_count,wits_mfn_available,wits_mfn_count,wits_pref_available,wits_pref_count,worldbank_available,observed_value_usd_vn,observed_value_usd_mirror,pct_diff_vs_vn,coverage_status,scope_recommendation,note,evidence_file,built_at
TRADE-001,TRADE_MIRROR,Đối chiếu Việt Nam xuất khẩu HS090111 sang Japan với mirror nhập khẩu của Japan,UN Comtrade monthly; from mirror_check_results.csv,EXPORT,Japan,392,090111,Coffee; not roasted or decaffeinated,MONTH,202301,YES,1,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,10127757.599,16784397.261,65.72668823212423,HIGH,RECONCILIATION_DEMO,"Mirror cao hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: HIGH.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-002,TRADE_MIRROR,Đối chiếu Việt Nam xuất khẩu HS090111 sang Japan với mirror nhập khẩu của Japan,UN Comtrade monthly; from mirror_check_results.csv,EXPORT,Japan,392,090111,Coffee; not roasted or decaffeinated,MONTH,202401,NO,0,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,,35660719.503,,MISSING_VN_REPORTED,MIRROR_FALLBACK_DEMO,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-003,TRADE_MIRROR,Đối chiếu Việt Nam xuất khẩu HS090111 sang United States với mirror nhập khẩu của United States,UN Comtrade monthly; from mirror_check_results.csv,EXPORT,United States,842,090111,Coffee; not roasted or decaffeinated,MONTH,202301,YES,1,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,20201618.072,37790801.0,87.06818862385629,HIGH,RECONCILIATION_DEMO,"Mirror cao hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: HIGH.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-004,TRADE_MIRROR,Đối chiếu Việt Nam xuất khẩu HS090111 sang Germany với mirror nhập khẩu của Germany,UN Comtrade monthly; from mirror_check_results.csv,EXPORT,Germany,276,090111,Coffee; not roasted or decaffeinated,MONTH,202301,YES,1,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,41199796.464,38271554.955,7.107417415420179,LOW,CORE_CANDIDATE,"Mirror thấp hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: LOW.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-005,TRADE_MIRROR,Đối chiếu Việt Nam nhập khẩu HS851762 từ China với mirror xuất khẩu của China,UN Comtrade monthly; from mirror_check_results.csv,IMPORT,China,156,851762,"Machines for reception, conversion and transmission/regeneration of data",MONTH,202301,YES,1,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,29869079.442,29945226.0,0.254934398456639,LOW,CORE_CANDIDATE,"Mirror cao hơn VN-reported. IMPORT: VN nhập khẩu thường ghi CIF, đối tác xuất khẩu thường ghi FOB; mirror thấp hơn có thể là bình thường. Mức chênh lệch: LOW.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-006,TRADE_MIRROR,Đối chiếu Việt Nam nhập khẩu HS854231 từ Rep. of Korea với mirror xuất khẩu của Rep. of Korea,UN Comtrade monthly; from mirror_check_results.csv,IMPORT,Rep. of Korea,410,854231,Electronic integrated circuits; processors and controllers,MONTH,202301,YES,1,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,252083766.166,217401413.0,13.758265235993534,MODERATE,CORE_CANDIDATE_WITH_FLAG,"Mirror thấp hơn VN-reported. IMPORT: VN nhập khẩu thường ghi CIF, đối tác xuất khẩu thường ghi FOB; mirror thấp hơn có thể là bình thường. Mức chênh lệch: MODERATE.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-007,TRADE_MIRROR,Đối chiếu Việt Nam nhập khẩu HS851762 từ China với mirror xuất khẩu của China,UN Comtrade monthly; from mirror_check_results.csv,IMPORT,China,156,851762,"Machines for reception, conversion and transmission/regeneration of data",MONTH,202401,NO,0,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,,62727085.0,,MISSING_VN_REPORTED,MIRROR_FALLBACK_DEMO,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
TRADE-008,TRADE_MIRROR,Đối chiếu Việt Nam nhập khẩu HS854231 từ Rep. of Korea với mirror xuất khẩu của Rep. of Korea,UN Comtrade monthly; from mirror_check_results.csv,IMPORT,Rep. of Korea,410,854231,Electronic integrated circuits; processors and controllers,MONTH,202401,NO,0,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,,412589570.0,,MISSING_VN_REPORTED,MIRROR_FALLBACK_DEMO,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",results/week1/mirror_check_results.csv,2026-09-18T14:03:14+00:00
SMOKE-009,TRADE_SMOKE,Comtrade annual - VN export TOTAL to World 2023,UN Comtrade API; from api_smoke_test_results.csv,EXPORT,,,,,YEAR,2023,YES,1,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,AVAILABLE,TRADE_SOURCE_AVAILABLE,OK,results/week1/api_smoke_test_results.csv,2026-09-18T14:03:14+00:00
SMOKE-010,TRADE_SMOKE,Comtrade annual - VN export TOTAL to World 2024 gap check,UN Comtrade API; from api_smoke_test_results.csv,EXPORT,,,,,YEAR,2024,NO,0,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,NO_DATA_BUT_API_OK,TRADE_RECENT_YEAR_GAP,OK,results/week1/api_smoke_test_results.csv,2026-09-18T14:03:14+00:00
